,Total Dropout Rate,Low SES Dropout Rate,Medium SES Dropout Rate,High SES Dropout Rate,Financial Aid Policy,Peer Influence Weight,Trial,Scenario
0,0.0,0.0,0.0,0.0,False,0.5,1,1_Baseline
1,0.5,0.0,0.0,2.5,False,0.5,1,1_Baseline
2,2.5,0.0,2.5,7.5,False,0.5,1,1_Baseline
3,6.0,5.0,3.75,12.5,False,0.5,1,1_Baseline
4,8.5,8.75,5.0,15.0,False,0.5,1,1_Baseline
5,14.499999999999998,16.25,11.25,17.5,False,0.5,1,1_Baseline
6,19.5,18.75,20.0,20.0,False,0.5,1,1_Baseline
7,25.5,26.25,25.0,25.0,False,0.5,1,1_Baseline
8,35.0,38.75,30.0,37.5,False,0.5,1,1_Baseline
9,39.0,42.5,32.5,45.0,False,0.5,1,1_Baseline
10,47.0,47.5,43.75,52.5,False,0.5,1,1_Baseline
11,53.0,51.24999999999999,52.5,57.49999999999999,False,0.5,1,1_Baseline
12,59.5,56.25,60.0,65.0,False,0.5,1,1_Baseline
13,64.0,62.5,63.74999999999999,67.5,False,0.5,1,1_Baseline
14,69.5,67.5,71.25,70.0,False,0.5,1,1_Baseline
15,73.5,72.5,75.0,72.5,False,0.5,1,1_Baseline
16,80.0,77.5,83.75,77.5,False,0.5,1,1_Baseline
17,84.0,82.5,86.25,82.5,False,0.5,1,1_Baseline
18,88.5,87.5,91.25,85.0,False,0.5,1,1_Baseline
19,91.0,90.0,93.75,87.5,False,0.5,1,1_Baseline
0,0.0,0.0,0.0,0.0,False,0.5,2,1_Baseline
1,0.5,0.0,1.25,0.0,False,0.5,2,1_Baseline
2,3.5000000000000004,2.5,5.0,2.5,False,0.5,2,1_Baseline
3,5.5,2.5,7.5,7.5,False,0.5,2,1_Baseline
4,9.5,5.0,13.750000000000002,10.0,False,0.5,2,1_Baseline
5,12.5,11.25,13.750000000000002,12.5,False,0.5,2,1_Baseline
6,16.0,15.0,18.75,12.5,False,0.5,2,1_Baseline
7,21.5,21.25,21.25,22.5,False,0.5,2,1_Baseline
8,30.0,25.0,33.75,32.5,False,0.5,2,1_Baseline
9,34.0,30.0,36.25,37.5,False,0.5,2,1_Baseline
10,38.0,35.0,41.25,37.5,False,0.5,2,1_Baseline
11,44.0,41.25,45.0,47.5,False,0.5,2,1_Baseline
12,48.5,46.25,47.5,55.00000000000001,False,0.5,2,1_Baseline
13,53.0,51.24999999999999,51.24999999999999,60.0,False,0.5,2,1_Baseline
14,60.0,61.25000000000001,55.00000000000001,67.5,False,0.5,2,1_Baseline
15,66.0,66.25,60.0,77.5,False,0.5,2,1_Baseline
16,72.0,72.5,66.25,82.5,False,0.5,2,1_Baseline
17,79.0,78.75,75.0,87.5,False,0.5,2,1_Baseline
18,86.5,85.0,83.75,95.0,False,0.5,2,1_Baseline
19,92.5,90.0,92.5,97.5,False,0.5,2,1_Baseline
0,0.0,0.0,0.0,0.0,False,0.5,3,1_Baseline
1,1.0,0.0,0.0,5.0,False,0.5,3,1_Baseline
2,2.0,1.25,0.0,7.5,False,0.5,3,1_Baseline
3,2.5,2.5,0.0,7.5,False,0.5,3,1_Baseline
4,5.5,6.25,2.5,10.0,False,0.5,3,1_Baseline
5,6.5,7.5,3.75,10.0,False,0.5,3,1_Baseline
6,8.0,10.0,3.75,12.5,False,0.5,3,1_Baseline
7,10.0,10.0,7.5,15.0,False,0.5,3,1_Baseline
8,12.5,13.750000000000002,8.75,17.5,False,0.5,3,1_Baseline
9,14.000000000000002,13.750000000000002,8.75,25.0,False,0.5,3,1_Baseline
10,16.0,18.75,8.75,25.0,False,0.5,3,1_Baseline
11,17.0,20.0,8.75,27.500000000000004,False,0.5,3,1_Baseline
12,23.0,27.500000000000004,13.750000000000002,32.5,False,0.5,3,1_Baseline
13,29.5,32.5,21.25,40.0,False,0.5,3,1_Baseline
14,36.5,41.25,25.0,50.0,False,0.5,3,1_Baseline
15,41.5,45.0,33.75,50.0,False,0.5,3,1_Baseline
16,49.0,53.75,42.5,52.5,False,0.5,3,1_Baseline
